,YES_CHILD,R_HOME,D,F,G,H,I,J,M,N,O,P,R,S,U,X,Z,Male,customer_id2,net_purchase_amount,Sales_Quantity,Policy_Change,Treatment,customer_id,gender,age_band,est_income_code,ethnic_code,homeowner_code,length_of_residence,child,PC_Treatment
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001843,749.99,1.0,0,1.0,1.00000000184e+12,M,0.0,9.0,N,O,3.0,N,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001843,550.8,2.0,1,1.0,1.00000000184e+12,M,0.0,9.0,N,O,3.0,N,1.0
2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001863,634.18,1.0,0,1.0,1.00000000186e+12,M,0.0,8.0,G,R,8.0,Y,0.0
3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001863,1170.17,2.0,1,1.0,1.00000000186e+12,M,0.0,8.0,G,R,8.0,Y,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1000000001875,52.78,1.0,0,1.0,1.00000000188e+12,M,3.0,6.0,Z,O,14.0,N,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1000000001875,29.99,1.0,1,1.0,1.00000000188e+12,M,3.0,6.0,Z,O,14.0,N,1.0
6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000001876,70.47,3.0,0,1.0,1.00000000188e+12,F,0.0,3.0,H,R,0.0,N,0.0
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000001876,19.99,1.0,1,1.0,1.00000000188e+12,F,0.0,3.0,H,R,0.0,N,1.0
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000001903,64.26,1.0,0,1.0,1.0000000019e+12,F,0.0,8.0,D,O,11.0,N,0.0
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000001903,194.93,7.0,1,1.0,1.0000000019e+12,F,0.0,8.0,D,O,11.0,N,1.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001905,60.43,1.0,0,1.0,1.0000000019e+12,M,3.0,4.0,N,O,6.0,Y,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000001905,45.13,1.0,1,1.0,1.0000000019e+12,M,3.0,4.0,N,O,6.0,Y,1.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1000000001914,22.18,1.0,0,1.0,1.00000000191e+12,M,10.0,4.0,Z,R,2.0,N,0.0
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1000000001914,49.0,1.0,1,1.0,1.00000000191e+12,M,10.0,4.0,Z,R,2.0,N,1.0
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000005103,899.0,1.0,0,1.0,1.0000000051e+12,M,6.0,6.0,F,O,11.0,N,0.0
