"","X","store_number","month","Age_Band_Ratio","Gender_Ratio","HomeOwner_Ratio","Child_Ratio","Income_Ratio","return_amount","return_quantity","Policy_Change","Treatment","Sales_Price","Sales_Quantity","store_number_of_skus","policy_treatment","avg_return_amount"
"1",0,2,"APR",4.25743369944,0.622416020672,0.629333333333,0.412533333333,5.332,1090198.97628,3768,0,1,6620615.12712,43417,11134,0,289.330938503185
"2",1,2,"AUG",3.04920634921,0.54769874477,0.650979153506,0.408717624763,5.50031585597,976553.209148,3211,0,1,5688314.8654,29338,10352,0,304.127439784491
"3",2,2,"DEC",3.12421798447,0.445174837944,0.701324104725,0.445832079446,5.55777911526,3197742.74849,13448,1,1,26757724.1037,170003,20281,1,237.785748697948
"4",3,2,"FEB",2.77103825137,0.565934065934,0.588779956427,0.419934640523,5.11873638344,559860.288373,1879,1,1,3977497.32563,18269,7795,1,297.95651323736
"5",4,2,"JAN",2.74859840661,0.549118387909,0.686856806822,0.435460158777,5.50367538959,938332.798189,3464,1,1,7205431.9374,40499,11857,1,270.881292779734
"6",5,2,"JUL",3.54232482787,0.563192904656,0.655588020453,0.425858290723,5.49744338934,880518.229695,2747,0,1,5339545.73058,25200,10051,0,320.538125116491
"7",6,2,"JUN",4.03639064241,0.589089309283,0.646446518306,0.428930366116,5.3528356066,864701.191278,2789,0,1,5122395.44873,23337,9414,0,310.039867794191
"8",7,2,"MAR",2.74178712221,0.593291404612,0.609787928222,0.406199021207,5.19543230016,1017920.46754,3119,1,1,6605825.03412,28608,11085,1,326.361163045848
"9",8,2,"MAY",4.3328351836,0.570053204966,0.633951137321,0.431339511373,5.3199241786,1257388.38772,4762,0,1,8424742.40106,52762,12449,0,264.04628049559
"10",9,2,"NOV",3.11708482676,0.546636937941,0.663186157518,0.413782816229,5.473150358,953700.358727,3399,1,1,7015790.5822,38958,12083,1,280.582629810827
"11",10,2,"OCT",3.01061320755,0.558808933002,0.647611589663,0.420516836335,5.42090837901,804927.590166,2592,1,1,5260253.66471,25039,10030,1,310.543051761574
"12",11,2,"SEP",3.07560137457,0.535305343511,0.644546147979,0.380244088482,5.45041952708,829682.078395,2653,0,1,5131287.93672,24291,9777,0,312.733538784395
"13",12,6,"APR",4.42328042328,0.589743589744,0.705882352941,0.475935828877,5.24064171123,47476.660198,189,0,1,323962.159775,2583,1395,0,251.199260306878
"14",13,6,"AUG",3.31958762887,0.646706586826,0.690721649485,0.422680412371,5.65979381443,54728.949799,196,0,1,311640.460004,1934,1247,0,279.229335709184
"15",14,6,"DEC",3.31929824561,0.472916666667,0.713532513181,0.409490333919,5.50263620387,116311.989967,577,1,1,1223172.84119,8749,4346,1,201.580571866551
"16",15,6,"FEB",3.20454545455,0.714285714286,0.752808988764,0.393258426966,5.2808988764,21581.399845,89,1,1,155233.859486,751,644,1,242.487638707865
"17",16,6,"JAN",3.02247191011,0.537931034483,0.696629213483,0.449438202247,5.38202247191,47466.089808,181,1,1,360564.669026,2456,1730,1,262.243590099447
"18",17,6,"JUL",3.53333333333,0.569444444444,0.606741573034,0.387640449438,5.42696629213,49510.06991,181,0,1,322283.679538,1571,1255,0,273.536297845304
"19",18,6,"JUN",4.24161073826,0.669117647059,0.683544303797,0.449367088608,5.23417721519,37661.699926,159,0,1,266230.960184,1386,1091,0,236.86603727044
"20",19,6,"MAR",3.22480620155,0.642201834862,0.723076923077,0.407692307692,5.14615384615,41985.099772,130,1,1,241838.049602,1328,1083,1,322.962305938462
"21",20,6,"MAY",4.33039647577,0.64824120603,0.703056768559,0.467248908297,5.33187772926,58199.9600087,230,0,1,459670.810859,3526,1863,0,253.043304385652
"22",21,6,"NOV",3.06965174129,0.568181818182,0.671641791045,0.412935323383,5.19900497512,42235.679847,206,1,1,323392.379799,2412,1627,1,205.027572072816
"23",22,6,"OCT",4,0.659420289855,0.740963855422,0.463855421687,5.4156626506,51975.900103,167,1,1,287401.040461,1682,1191,1,311.232934748503
"24",23,6,"SEP",2.95882352941,0.649253731343,0.616279069767,0.395348837209,4.71511627907,49647.589922,172,0,1,275735.939387,1735,1224,0,288.648778616279
"25",24,10,"APR",5.44444444444,0.769230769231,0.546875,0.546875,5.5,14146.0100899,293,0,0,160665.071708,5607,2543,0,48.2798979177474
"26",25,10,"AUG",5.11688311688,0.771428571429,0.74025974026,0.415584415584,5.41558441558,13235.0301121,288,0,0,115296.341413,4009,1893,0,45.9549656670139
